Country,total_contributors,total_stars,avg_stars_per_contributor
IDN,1,5502,5502.0
IL,18,513998,28555.444444444445
IL - USA,1,14182,14182.0
IL US,1,5730,5730.0
IL. USA,1,23211,23211.0
INDIA,2,48873,24436.5
IT,2,85626,42813.0
Iceland,2,22400,11200.0
Illinois,3,135089,45029.666666666664
India,580,14176102,24441.55517241379
India.,5,109976,21995.2
Indiana,1,37358,37358.0
Indonesia,36,867390,24094.166666666668
Indonesia.,1,77961,77961.0
Iran,13,385437,29649.0
Iraq,2,30299,15149.5
Ireland,27,417173,15450.851851851852
Ireland),1,11812,11812.0
Israel,18,702560,39031.11111111111
Istanbul,1,4150,4150.0
Italia,52,1561302,30025.03846153846
Italy,39,1168829,29969.97435897436
JAPAN,2,142390,71195.0
Jamaica,1,5622,5622.0
Japan,82,3590797,43790.20731707317
Japan.,1,26968,26968.0
Jharkhand,2,32285,16142.5
Jordan,16,461933,28870.8125
KOLKATA,1,36240,36240.0
KR,1,14182,14182.0
KS,4,57376,14344.0
KSA,1,77895,77895.0
KY,4,268899,67224.75
KY USA,1,23211,23211.0
Kahramanmaraş,1,15566,15566.0
Kanagawa,1,6425,6425.0
Kansanga,1,5502,5502.0
Kaohsiung,2,57041,28520.5
Karnataka,9,334150,37127.77777777778
Kent,1,77961,77961.0
Kenya,9,237972,26441.333333333332
Kerala,2,13665,6832.5
Kigali City,1,17000,17000.0
Koblenz,1,11812,11812.0
Korea,31,883634,28504.322580645163
Korea.,1,71312,71312.0
Kossuth L. 72/B,1,8023,8023.0
Krasnodar,1,6799,6799.0
Krasnoyarsk,2,11738,5869.0
Kuala Lumpur,1,3459,3459.0
Kwara State Nigeria,1,3608,3608.0
Kyiv,1,148290,148290.0
Ködörösêse tî Bêafrîka / République centrafricaine,39,1425249,36544.846153846156
Lagos,2,177642,88821.0
Laniakea,1,8420,8420.0
Latvia,2,26688,13344.0
Latvija,1,5372,5372.0
Lebanon,3,97047,32349.0
Leixlip,3,23556,7852.0
Leskovac,1,11633,11633.0
Libya,1,14647,14647.0
Lietuva,1,39146,39146.0
Lithuania,10,174521,17452.1
Los-Angeles,1,19371,19371.0
Lyubertsy,1,148290,148290.0
Lëtzebuerg,7,449767,64252.42857142857
MA,68,1664025,24470.95588235294
MA / Bay Area,1,9536,9536.0
MA USA,1,23679,23679.0
MD,6,123040,20506.666666666668
MD USA,1,19371,19371.0
ME,1,21220,21220.0
MG,1,5813,5813.0
MI,15,353438,23562.533333333333
MN,9,170411,18934.555555555555
MO,11,168800,15345.454545454546
MP,1,19286,19286.0
MS,1,37358,37358.0
MT,2,35098,17549.0
Ma,1,5621,5621.0
Macedonia,6,180998,30166.333333333332
Madhya Pradesh,3,87618,29206.0
Madrid,1,9466,9466.0
Magyarország,11,554794,50435.818181818184
Maharashtra,8,242010,30251.25
Malawi,1,7215,7215.0
Malaysia,10,264030,26403.0
Malaysia.,1,29022,29022.0
Manitoba,1,5148,5148.0
Manresa,1,5468,5468.0
Maroc ⵍⵎⵖⵔⵉⴱ المغرب,4,63984,15996.0
Mars,2,134008,67004.0
Maryland,2,87474,43737.0
Massachusetts,10,243603,24360.3
Mersin,1,29348,29348.0
Mexico,4,393909,98477.25
Michigan,1,6425,6425.0
Milky Way,2,61190,30595.0
Milky Way Galaxy,2,67839,33919.5
Minnesota,2,36786,18393.0
Minsk,1,13062,13062.0
Missouri,2,34524,17262.0
Mo,2,41895,20947.5
Moldova,1,29022,29022.0
Mongolia,1,11812,11812.0
Montana,2,19896,9948.0
Montenegro,2,57460,28730.0
Morocco,4,62556,15639.0
Moscow,3,98932,32977.333333333336
Muenster,1,22335,22335.0
Mumbai,3,67630,22543.333333333332
Munich,3,23556,7852.0
Mv,1,4206,4206.0
México,10,472619,47261.9
N. Novgorod,1,7852,7852.0
NC,35,1458461,41670.31428571429
ND,1,23211,23211.0
NE,4,67567,16891.75
NG,1,36240,36240.0
NH,2,18137,9068.5
NH USA,1,19093,19093.0
NJ,15,327409,21827.266666666666
NM,1,21220,21220.0
NO,1,5989,5989.0
NRW,1,53164,53164.0
NS,1,27040,27040.0
NSW,1,30974,30974.0
NV,6,258182,43030.333333333336
NY,97,2769945,28556.134020618556
NYC,3,50841,16947.0
NZ,4,195769,48942.25
Nanchang,1,8195,8195.0
Nanjing,1,17000,17000.0
Navi Mumbai,3,83993,27997.666666666668
Nebraska,1,40203,40203.0
Nederland,90,2482025,27578.055555555555
Nepal,5,128975,25795.0
Netherlands,60,2325292,38754.86666666667
New York,12,267887,22323.916666666668
New Zealand,12,268841,22403.416666666668
New Zealand / Aotearoa,8,152891,19111.375
Newfoundland,2,87431,43715.5
Nicaragua,1,8557,8557.0
Nigeria,43,775889,18043.93023255814
Nigeria.,2,105141,52570.5
Niihama-shi,1,6250,6250.0
Nizhniy Novgorod,4,62702,15675.5
Nizhny Novgorod,11,86372,7852.0
Norge,21,347431,16544.333333333332
North Carolina,2,77704,38852.0
Northern Ireland,4,107247,26811.75
Norway,67,1506515,22485.298507462685
Now,1,23736,23736.0
OH,9,283216,31468.444444444445
OK,2,249724,124862.0
ON,16,717123,44820.1875
ON Canada,1,29501,29501.0
OR,36,1020732,28353.666666666668
Occupied Palestine,1,5148,5148.0
Odesa,2,179681,89840.5
Ohio,5,247135,49427.0
Oklahoma,2,46617,23308.5
Ontario,14,303814,21701.0
Ontario. CANADA,1,3496,3496.0
Or,1,6425,6425.0
Oregon,9,298541,33171.22222222222
Oxfordshire,1,36240,36240.0
Oʻzbekiston,1,10938,10938.0
P.R. China,1,41513,41513.0
P.R.China,1,4626,4626.0
PA,26,566962,21806.23076923077
PE - Brazil,1,27040,27040.0
PK,1,13334,13334.0
PL,2,11193,5596.5
PR.China,1,22335,22335.0
PRC,1,7937,7937.0
PT,3,49971,16657.0
Pacific Ocean,1,7852,7852.0
Pakistan,33,962225,29158.333333333332
Palestinian Territory,1,71195,71195.0
Panamá,1,14695,14695.0
Panchmahal,1,27246,27246.0
Papua Niugini,2,15577,7788.5
Paraguay,1,37358,37358.0
Paraíba - Brasil,1,19093,19093.0
Paris,1,49378,49378.0
Pennsylvania,1,6250,6250.0
People's Republic of China,1,71195,71195.0
Pernambuco,1,14647,14647.0
Peru,4,78822,19705.5
Perú,1,5502,5502.0
Philippines,7,135922,19417.428571428572
Pilipinas,12,203132,16927.666666666668
Pokrovsk,1,7646,7646.0
Poland,55,1633251,29695.47272727273
Polska,41,816928,19925.073170731706
Portugal,43,1278257,29726.906976744187
Poznan,1,11812,11812.0
Pretoria,1,30974,30974.0
QC,6,123297,20549.5
Qc,1,13261,13261.0
Quebec,1,4150,4150.0
Québec,5,103628,20725.6
R.O.C,1,77961,77961.0
R.O.C.,1,30974,30974.0
RI,5,129835,25967.0
RJ,1,71195,71195.0
RN,1,27040,27040.0
RS,1,171829,171829.0
RS - Brazil,1,77895,77895.0
Rajasthan,2,44220,22110.0
Ravensburg,1,171829,171829.0
Rawsaw,1,19570,19570.0
Republic of,1,22803,22803.0
Republic of Korea,18,691325,38406.944444444445
Republic of North Macedonia,1,77895,77895.0
República Dominicana,1,77895,77895.0
Rio de Janeiro,1,19286,19286.0
Romania,18,370054,20558.555555555555
România,12,220558,18379.833333333332
Russia,51,1794277,35181.901960784315
Russian Federation,2,13576,6788.0
Rwanda,2,66142,33071.0
SAR,1,14695,14695.0
SC,3,51313,17104.333333333332
SD,2,44085,22042.5
SHZ8,1,7852,7852.0
SK,1,171829,171829.0
SP,2,45571,22785.5
SP - Brazil,1,4325,4325.0
Saint-Petersburg,4,120376,30094.0
Sandefjord,1,36520,36520.0
Santa Catarina - Brasil,1,71195,71195.0
Saudi Arabia,2,185534,92767.0
Schweiz,1,11812,11812.0
Schweiz/Suisse/Svizzera/Svizra,38,908871,23917.657894736843
Scotland,8,342425,42803.125
Selangor,1,36240,36240.0
Senegal,1,19570,19570.0
Seoul,3,13697,4565.666666666667
Serbia,11,229423,20856.636363636364
Sesel,2,28715,14357.5
ShangHai,2,63252,31626.0
Shanghai,2,91003,45501.5
ShenZhen,1,56047,56047.0
Shenzhen,1,41513,41513.0
Singapore,14,524017,37429.78571428572
Slovakia,4,107985,26996.25
Slovenia,3,49951,16650.333333333332
Slovensko,3,102446,34148.666666666664
Snezhinsk,1,11552,11552.0
Solomon Islands,1,12394,12394.0
Sophia-Antipolis / Monaco,1,77961,77961.0
South,2,9794,4897.0
South Africa,33,1207452,36589.454545454544
South Dakota,1,3852,3852.0
South Korea,39,1411641,36195.92307692308
South korea,2,37442,18721.0
Spain,73,1855530,25418.219178082192
Sri Lanka,7,151569,21652.714285714286
Sri Lanka.,1,40041,40041.0
Sricity.,1,14182,14182.0
St. Paul Minnesota,1,14711,14711.0
St. Petersburg,1,6559,6559.0
Stockholm,1,6777,6777.0
Stuttgart,2,36741,18370.5
Suomi / Finland,8,425204,53150.5
Sverige,29,1351847,46615.41379310345
Sweden,45,1810888,40241.955555555556
Switzerland,55,1771323,32205.872727272726
São Paulo,1,62415,62415.0
TN,10,345349,34534.9
TR,1,14182,14182.0
TX,71,2158335,30399.084507042255
Taganrog,1,12053,12053.0
Taipei,3,64372,21457.333333333332
Taiwan,35,1566719,44763.4
Tamil Nadu,2,61016,30508.0
Tbilisi,4,208321,52080.25
Tel Aviv,1,62415,62415.0
Tennessee,1,36240,36240.0
Texas,18,311706,17317.0
Thailand,13,606688,46668.307692307695
The  Netherlands,1,40203,40203.0
The Netherlands,22,865609,39345.86363636364
Tokyo,5,311812,62362.4
Toulouse,1,12394,12394.0
Trondheim,1,29022,29022.0
Tunisia,2,33826,16913.0
Turkey,12,425976,35498.0
Turkiye,2,53300,26650.0
Tx,1,24772,24772.0
Türkiye,35,998805,28537.285714285714
U.K.,1,40041,40041.0
U.S.,1,27040,27040.0
U.S.A.,4,123743,30935.75
UAE,15,295612,19707.466666666667
UK.,1,6559,6559.0
US.,1,8420,8420.0
UT,15,403012,26867.466666666667
UTC+7,1,49378,49378.0
Uae,1,5468,5468.0
Uganda,4,154530,38632.5
Ukraine,13,582293,44791.769230769234
United Arab Emirates,5,135039,27007.8
United Kingdom,392,11802233,30107.73724489796
United States,1354,38182006,28199.413589364845
United States of America,2,114481,57240.5
Unknown,2133,65985851,30935.701359587434
Uruguay,3,177554,59184.666666666664
Uruguay.,1,9466,9466.0
Utah,1,40041,40041.0
Utah Area,1,8101,8101.0
Uttar Pradesh,3,74030,24676.666666666668
Uttar Pradesh -244001,1,10854,10854.0
V0L 1H0,2,32097,16048.5
VA,12,325634,27136.166666666668
VA / Remote,1,21220,21220.0
VT,2,58044,29022.0
Vanuatu,1,10646,10646.0
